       word        | catcode |                   catdesc
 serializable      | U       | unreserved
 server            | U       | unreserved
 session           | U       | unreserved
 session_user      | R       | reserved
 set               | U       | unreserved
 setof             | C       | unreserved (cannot be function or type name)
 sets              | U       | unreserved
 share             | U       | unreserved
 show              | U       | unreserved
 similar           | T       | reserved (can be function or type name)
 simple            | U       | unreserved
 skip              | U       | unreserved
 smallint          | C       | unreserved (cannot be function or type name)
 snapshot          | U       | unreserved
 some              | R       | reserved
 sql               | U       | unreserved
 stable            | U       | unreserved
 standalone        | U       | unreserved
 start             | U       | unreserved
 statement         | U       | unreserved
 statistics        | U       | unreserved
 stdin             | U       | unreserved
 stdout            | U       | unreserved
 storage           | U       | unreserved
 strict            | U       | unreserved
 strip             | U       | unreserved
 subscription      | U       | unreserved
 substring         | C       | unreserved (cannot be function or type name)
 symmetric         | R       | reserved
 sysid             | U       | unreserved
 system            | U       | unreserved
 table             | R       | reserved
 tables            | U       | unreserved
 tablesample       | T       | reserved (can be function or type name)
 tablespace        | U       | unreserved
 temp              | U       | unreserved
 template          | U       | unreserved
 temporary         | U       | unreserved
 text              | U       | unreserved
 then              | R       | reserved
 ties              | U       | unreserved
 time              | C       | unreserved (cannot be function or type name)
 timestamp         | C       | unreserved (cannot be function or type name)
 to                | R       | reserved
 trailing          | R       | reserved
 transaction       | U       | unreserved
 transform         | U       | unreserved
 treat             | C       | unreserved (cannot be function or type name)
 trigger           | U       | unreserved
 trim              | C       | unreserved (cannot be function or type name)
 true              | R       | reserved
 truncate          | U       | unreserved
 trusted           | U       | unreserved
 type              | U       | unreserved
 types             | U       | unreserved
 unbounded         | U       | unreserved
 uncommitted       | U       | unreserved
 unencrypted       | U       | unreserved
 union             | R       | reserved
 unique            | R       | reserved
 unknown           | U       | unreserved
 unlisten          | U       | unreserved
 unlogged          | U       | unreserved
 until             | U       | unreserved
 update            | U       | unreserved
 user              | R       | reserved
 using             | R       | reserved
 vacuum            | U       | unreserved
 valid             | U       | unreserved
 validate          | U       | unreserved
 validator         | U       | unreserved
 value             | U       | unreserved
 values            | C       | unreserved (cannot be function or type name)
 varchar           | C       | unreserved (cannot be function or type name)
 variadic          | R       | reserved
 varying           | U       | unreserved
 verbose           | T       | reserved (can be function or type name)
 version           | U       | unreserved
 view              | U       | unreserved
 views             | U       | unreserved
 volatile          | U       | unreserved
 when              | R       | reserved
 where             | R       | reserved
 whitespace        | U       | unreserved
 window            | R       | reserved
 with              | R       | reserved
 within            | U       | unreserved
 without           | U       | unreserved
 work              | U       | unreserved
 wrapper           | U       | unreserved
 write             | U       | unreserved
 xml               | U       | unreserved
 xmlattributes     | C       | unreserved (cannot be function or type name)
 xmlconcat         | C       | unreserved (cannot be function or type name)
 xmlelement        | C       | unreserved (cannot be function or type name)
 xmlexists         | C       | unreserved (cannot be function or type name)
 xmlforest         | C       | unreserved (cannot be function or type name)
 xmlnamespaces     | C       | unreserved (cannot be function or type name)
 xmlparse          | C       | unreserved (cannot be function or type name)
 xmlpi             | C       | unreserved (cannot be function or type name)
 xmlroot           | C       | unreserved (cannot be function or type name)
 xmlserialize      | C       | unreserved (cannot be function or type name)
 xmltable          | C       | unreserved (cannot be function or type name)
 year              | U       | unreserved
 yes               | U       | unreserved
 zone              | U       | unreserved
